tiempo,paso,n_part
0.05,0.05,0
0.157,0.107,0
0.183,0.026,0
0.206,0.023,0
0.226,0.02,0
0.24399999,0.018,0
0.264,0.02,0
0.284,0.02,0
0.307,0.023,0
0.32500002,0.018,0
0.34600002,0.021,0
0.36400002,0.018,0
0.38600004,0.022,0
0.40700004,0.021,0
0.42800003,0.021,0
0.44600004,0.018,0
0.46600005,0.02,0
0.48600006,0.02,0
0.50600004,0.02,0
0.52500004,0.019,0
0.54600006,0.021,0
0.56400007,0.018,0
0.5860001,0.022,0
0.6040001,0.018,0
0.6250001,0.021,0
0.6450001,0.02,0
0.6650001,0.02,0
0.68500006,0.02,0
0.70400006,0.019,0
0.72400004,0.02,0
0.744,0.02,0
0.764,0.02,0
0.785,0.021,0
0.805,0.02,0
0.827,0.022,0
0.845,0.018,0
0.86600006,0.021,0
0.8870001,0.021,0
0.9060001,0.019,0
0.9240001,0.018,0
0.94400007,0.02,0
0.96400005,0.02,0
0.98600006,0.022,0
1.0050001,0.019,0
1.0260001,0.021,0
1.0470002,0.021,0
1.0660002,0.019,1
1.0890002,0.023,1
1.1070002,0.018,1
1.1290002,0.022,1
1.1470002,0.018,1
1.1710002,0.024,1
1.1890002,0.018,1
1.2080003,0.019,1
1.2280003,0.02,1
1.2480003,0.02,1
1.2690003,0.021,1
1.2890003,0.02,1
1.3090003,0.02,1
1.3280003,0.019,1
1.3480003,0.02,1
1.3680003,0.02,1
1.3880002,0.02,1
1.4090003,0.021,1
1.4280003,0.019,1
1.4480003,0.02,1
1.4680003,0.02,1
1.4880003,0.02,1
1.5090003,0.021,1
1.5290003,0.02,1
1.5490003,0.02,1
1.5670003,0.018,1
1.5870003,0.02,1
1.6080003,0.021,1
1.6290003,0.021,1
1.6470003,0.018,1
1.6680003,0.021,1
1.6900003,0.022,1
1.7090003,0.019,1
1.7270004,0.018,1
1.7480004,0.021,1
1.7680004,0.02,1
1.7880003,0.02,1
1.8100003,0.022,1
1.8290004,0.019,1
1.8500004,0.021,1
1.8690004,0.019,1
1.8890004,0.02,50
1.9100004,0.021,50
1.9380004,0.028,50
1.9480004,0.01,50
1.9680004,0.02,50
1.9890004,0.021,50
2.0080004,0.019,50
2.0280004,0.02,50
2.0480003,0.02,50
2.0690002,0.021,50
2.0870001,0.018,50
2.108,0.021,50
2.128,0.02,50
2.148,0.02,50
2.167,0.019,50
2.187,0.02,50
2.208,0.021,50
2.228,0.02,50
2.248,0.02,50
2.268,0.02,50
2.2879999,0.02,50
2.31,0.022,50
2.3279998,0.018,50
2.3479998,0.02,50
2.37,0.022,50
2.3879998,0.018,50
2.4079998,0.02,50
2.4279997,0.02,50
2.4489996,0.021,50
2.4679997,0.019,50
2.4869998,0.019,50
2.5089998,0.022,0
2.5279999,0.019,0
2.5479999,0.02,0
2.5679998,0.02,0
2.587,0.019,0
2.6079998,0.021,0
2.6289997,0.021,0
2.6479998,0.019,0
2.6679997,0.02,0
2.6889997,0.021,0
2.7089996,0.02,0
2.7279997,0.019,0
2.7479997,0.02,0
2.7689996,0.021,1
2.7899995,0.021,1
2.8079994,0.018,1
2.8289993,0.021,1
2.8479993,0.019,1
2.8689992,0.021,1
2.8889992,0.02,1
2.906999,0.018,1
2.927999,0.021,1
2.948999,0.021,1
2.967999,0.019,1
2.989999,0.022,1
3.010999,0.021,1
3.026999,0.016,1
3.050999,0.024,1
3.070999,0.02,1
3.0889988,0.018,1
3.1079988,0.019,1
3.1279988,0.02,1
3.1479988,0.02,1
3.1689987,0.021,1
3.1919987,0.023,1
3.2089987,0.017,1
3.2279987,0.019,1
3.2499988,0.022,1
3.2679987,0.018,1
3.2879987,0.02,1
3.3069987,0.019,1
3.3269987,0.02,1
3.3509986,0.024,1
3.3679986,0.017,1
3.3869987,0.019,1
3.4069986,0.02,1
3.4279985,0.021,1
3.4489985,0.021,1
3.4689984,0.02,1
3.4879985,0.019,1
3.5109985,0.023,1
3.5299985,0.019,1
3.5499985,0.02,1
3.5669985,0.017,1
3.5869985,0.02,50
3.6079984,0.021,50
3.6279984,0.02,50
3.6489983,0.021,50
3.6689982,0.02,50
3.6909983,0.022,50
3.7099984,0.019,50
3.7299984,0.02,50
3.7479982,0.018,50
3.7689981,0.021,50
3.789998,0.021,50
3.809998,0.02,50
3.828998,0.019,50
3.849998,0.021,50
3.867998,0.018,50
3.8889978,0.021,50
3.9079978,0.019,50
3.9289978,0.021,50
3.9489977,0.02,50
3.9679978,0.019,50
3.9899979,0.022,50
4.007998,0.018,50
4.027998,0.02,50
4.048998,0.021,50
4.067998,0.019,50
